Signal,Type,DataType,Deprecated,Unit,Min,Max,Desc,Comment,Allowed,Default,Instances
Vehicle.MotionManagement.Steering.SteeringWheel.TorqueOffsetTargetMode,actuator,uint8,,,,,Mode used for controlling steering-wheel torque offset interface. 0 indicates interface disabled. Other values activate vehicle specific modes.,,,,
Vehicle.MotionManagement.Steering.SteeringWheel.TorqueTarget,actuator,int16,,Nm,,,Steering-wheel torque request to the steering actuator (external set-point for steer-by-wire). Positive sign for torque in counterclockwise direction (based on ISO8855).,,,,
Vehicle.MotionManagement.Steering.SteeringWheel.TorqueTargetMode,actuator,uint8,,,,,Mode used for controlling Steering-wheel torque interface. 0 indicates interface disabled. Other values activate vehicle specific modes.,,,,
Vehicle.MotionManagement.Steering.SteeringWheel.Torque,sensor,int16,,Nm,,,"Represents the current input torque for steering system, typically corresponds to torque applied by driver on the steering wheel. Positive for torque in counterclockwise direction (based on ISO8855).",,,,
Vehicle.MotionManagement.Steering.Axle,branch,,,,,,MotionManagement related to a specific axle.,,,,"['Row[1,1]']"
Vehicle.MotionManagement.Steering.Axle.RackPositionOffsetTarget,actuator,int16,,mm,,,"Rack position offset request to the axle steering actuator (for steer-by-wire), added to the actuator internal calculated set-point. Positive values without internal calculated set point change lead to a left movement of the vehicle (based on ISO8855).",,,,
Vehicle.MotionManagement.Steering.Axle.RackPositionOffsetTargetMode,actuator,uint8,,,,,Mode used for controlling rack position offset interface of axle steering actuator. 0 indicates interface disabled. Other values activate vehicle specific modes.,,,,
Vehicle.MotionManagement.Steering.Axle.RackPosition,sensor,int16,,mm,,,Represents the current position of the steering rack on axle steering actuator. Positive values leads to a left turn of the vehicle (based on ISO8855).,,,,
Vehicle.MotionManagement.Steering.Axle.RackPositionTarget,actuator,int16,,mm,,,Rack position request to the axle steering actuator (external set-point). Positive values lead to a left turn of the vehicle (based on ISO8855).,,,,
Vehicle.MotionManagement.Steering.Axle.RackPositionTargetMode,actuator,uint8,,,,,Mode used for controlling rack position interface of axle steering actuator. 0 indicates interface disabled. Other values activate vehicle specific modes.,,,,
